Slagt og æd - nu med brød 8.,Aalborg,Virksomhed,Erhvervsplaymaker,,,,,,,,,8. klasse,,,,,Udskoling,,Sundhed,,Fødevarer,,,,https://aabenaalborg.dk/grundskole/slagt-æd-nu-med-brød,,,,,,,,,,,,
8. årgang løser klimaudfordringen 8.,Aalborg,Virksomhed,Erhvervsplaymaker,,,,,,,,,8. klasse,,,,,Udskoling,,,Klima,,Ressourcer,,,https://aabenaalborg.dk/grundskole/8-årgang-løser-klimaudfordringen,,,,,,,,,,,,
Naturfagsmarathon 5.-6.,Aalborg,Andre aktører,Naturvidenskabernes Hus,,,,,,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,Klima,,,,,https://www.nvhus.dk/undervisning/naturfagsmaraton/,,,,,,,,,,,,
"Miljøjagten, 4. - 6.",Furesø,Natur- og innovationsværksted,Grøn Guide,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,Klima,,Ressourcer,,,,,,,,,,,,,,,
Den Grønne Guide i Furesø 0. - 10.,Furesø,Natur- og innovationsværksted,Grøn Guide,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,Natur,,Klima,,Ressourcer,,,,,,,,,,,,,,,
Det Minigrønne Flag 0. - 6.,Furesø,Natur- og innovationsværksted,Grøn Guide,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,,,,,Indskoling,Mellemtrin,,Natur,,Klima,,,,,,,,,,,,,,,,,
Lej med Miljø 0. - 6.,Furesø,Natur- og innovationsværksted,Grøn Guide,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,,,,,Indskoling,Mellemtrin,,Natur,,,,Ressourcer,Energi,,,,,,,,,,,,,,
Insekter og andre smådyrs fantastiske verden 3. - 5.,Furesø,Natur- og innovationsværksted,Hjortøgaard Udeskole og flyvestationen,,,,,4. klasse,5. klasse,6. klasse,,,,,,Mellemtrin,,Natur,,Klima,,,,,,,,,,,,,,,,,
Fødekæder - æd eller bliv ædt 4. - 5.,Furesø,Natur- og innovationsværksted,Hjortøgaard Udeskole og flyvestationen,,,,,4. klasse,5. klasse,,,,,,,Mellemtrin,,Natur,,,Fødevarer,,,,,,,,,,,,,,,,
Sæt flueben ved insekter 7. - 8.,Furesø,Natur- og innovationsværksted,Hjortøgaard Udeskole og flyvestationen,,,,,,,,7. klasse,8. klasse,,,,,Udskoling,Natur,,,,,,,,,,,,,,,,,,,
"Hjortøgård udeskole, 0. - 10. Tilbud på egen hånd, eller med naturvejleder",Furesø,Natur- og innovationsværksted,Hjortøgaard Udeskole,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,10. klasse,Indskoling,Mellemtrin,Udskoling,Natur,,Klima,,Ressourcer,,,,,,,,,,,,,,,
Fisk: Forløb med dissektion og fiskenes biologi 4. - 9.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,,,,,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,,Mellemtrin,Udskoling,Natur,,,,,,,,,,,,,,,,,,,
"Fugle, fjer og flyveevne: Forløb med dissektion og fuglenes biologi 4. - 9.",Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,,,,,4. klasse,5. klasse,6. klasse,7. klasse,8. klasse,9. klasse,,,Mellemtrin,Udskoling,Natur,,,,,,,,,,,,,,,,,,,
De økologiske skolehaver 8 besøg 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,6. klasse,7. klasse,,,,Indskoling,Mellemtrin,Udskoling,,,Klima,Fødevarer,Ressourcer,,,,,,,,,,,,,,,
Frø og spiring 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,Natur,,,Fødevarer,,,,,,,,,,,,,,,,
Nedbrydere og nærringsstoffer 0. - 5.,Furesø,Natur- og innovationsværksted,Skolelandbruget og Haver til Maver,0. klasse,1. klasse,2. klasse,3. klasse,4. klasse,5. klasse,,,,,,,,,Natur,,,Fødevarer,,,,,,,,,,,,,,,,
